編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPOPMLMJRHGGFAE57DA,坡道平面,1800000,22.87,地下四樓
RPOQMLRJRHGGFAE18DA,坡道機械,0,14.05,地下三樓
RPOOMLSJRHGGFAE08DA,坡道平面,0,22.96,地下二樓
RPWNMLSJRHGGFAE78DA,坡道機械,0,14.54,地下二樓
RPXPMLTJRHGGFAE56DA,坡道機械,0,6.01,地下一樓
RPPNMLQLQHGGFBE08DA,坡道平面,0,19.87,地下四樓
RPPNMLQLQHGGFBE08DA,坡道平面,0,19.87,地下四樓
RPPPMLRJRHGGFBE28DA,坡道機械,900000,5.31,地下二樓
RPXOMLQKQHGGFCE98DA,升降機械,0,,地下一樓
RPQNMLPLQHGGFCE18DA,坡道平面,2200000,40.15,地下三樓
RPQOMLSKQHGGFCE48DA,坡道平面,0,28.15,地下一樓
RPQOMLSKQHGGFCE48DA,坡道平面,0,28.15,地下一樓
RPWNMLMJRHGGFCE38DA,坡道機械,0,15.63,地下四樓
RPWNMLMJRHGGFCE38DA,坡道機械,0,15.63,地下四樓
RPWOMLPLQHGGFAE68DA,坡道平面,0,28.39,地下三樓
RPXNMLRKQHGGFDE09DA,坡道平面,0,23.23,地下三樓
RPUNMLMJRHGGFDE28DA,坡道平面,0,,地下二樓
RPSPMLRJRHGGFDE78DA,坡道平面,1300000,25.40,地下三樓
RPXNMLSJRHGGFDE56DA,坡道平面,0,23.87,地下二樓
RPXNMLSJRHGGFDE56DA,坡道平面,0,23.87,地下三樓
RPWOMLSJRHGGFDE56DA,坡道平面,0,16.20,地下一樓
RPXOMLSJRHGGFDE66DA,坡道平面,0,23.71,地下二樓
RPQSMLSKQHGGFEE09DA,坡道平面,1550000,32.49,地下二樓
RPQNMLTLQHGGFEE78DA,坡道平面,1550000,32.49,地下二樓
RPPNMLOJRHGGFEE08DA,坡道平面,0,23.78,地下二樓
RPWRMLLMQHGGFEE09DA,坡道平面,1550000,32.49,地下二樓
RPUOMLSJRHGGFEE09DA,坡道平面,0,18.99,地下二樓
RPTOMLNJRHGGFFE58DA,一樓平面,1100000,14.77,一樓
RPVOMLNJRHGGFFE78DA,一樓平面,1300000,21.40,一樓
RPXOMLNJRHGGFFE98DA,一樓平面,1200000,13.66,一樓
RPPPMLNJRHGGFFE28DA,一樓平面,1150000,14.77,一樓
RPRPMLNJRHGGFFE48DA,一樓平面,1150000,14.77,一樓
RPSPMLNJRHGGFFE58DA,一樓平面,1150000,14.77,一樓
RPTPMLNJRHGGFFE68DA,一樓平面,1150000,14.77,一樓
RPUPMLNJRHGGFFE78DA,一樓平面,1150000,14.77,一樓
RPUNMLMJRHGGFFE48DA,坡道平面,0,16.29,地下一樓
RPSNMLNJRHGGFFE38DA,一樓平面,1150000,14.77,一樓
RPWQMLNJRHGGFFE09DA,一樓平面,1000000,14.77,一樓
RPRNMLOKQHGGFGE48DA,坡道平面,0,16.58,地下一樓
RPSNMLNJRHGGFGE48DA,坡道平面,0,,地下一樓
RPQOMLRJRHGGFGE78DA,坡道平面,0,16.58,地下二樓
RPSOMLRJRHGGFGE98DA,坡道平面,1700000,25.32,地下一樓
RPQNMLSJRHGGFGE78DA,坡道平面,0,19.81,地下一樓
RPWOMLMJRHGGFIE09DA,坡道機械,0,,地下一樓
RPXNMLKLQHGGFFE68DA,坡道平面,0,,地下二樓
RPPNMLTJRHGGFBE38EA,升降機械,0,8.26,地下二樓
RPXOMLTJRHGGFAE56EA,坡道機械,1200000,8.25,地下二樓
RPXOMLSJRHGGFGE07EA,坡道平面,0,,地下一樓
RPWNMLTJRHGGFGE96EA,坡道平面,0,,地下一樓
RPUPMLTJRHGGFAE98EA,坡道平面,1800000,16.93,地下二樓
RPQNMLTJRHGGFLE76DA,升降平面,0,,地下一樓
RPOOMLLMQHGGFLE68DA,升降平面,0,,地下一樓
RPRPMLQJRHGGFIE09DA,坡道平面,1400000,24.18,地下二樓
RPVOMLLJRHGGFIE88DA,坡道平面,1300000,24.18,地下三樓
RPXNMLMLOHGGFIE98DA,坡道平面,1300000,24.18,地下三樓
RPXOMLLJRHGGFIE09DA,坡道平面,1400000,24.18,地下二樓
RPUNMLKMPHGGFIE68DA,坡道平面,1300000,24.18,地下三樓
RPUOMLSLPHGGFIE86DA,坡道平面,1400000,24.18,地下二樓
